net,length_um
_0661_,26.6
_0901_,26.54
_0691_,26.42
_1203_,26.42
u_audio.counter\[0\],26.41
u_core.u_regfile.rf\[5\]\[19\],26.4
_1430_,26.38
u_core.u_regfile.rf\[1\]\[9\],26.36
_1235_,26.32
_1886_,26.28
_1479_,26.24
u_core.u_regfile.rf\[31\]\[14\],26.14
u_core.u_regfile.rf\[6\]\[28\],26.1
u_core.u_regfile.rf\[28\]\[28\],25.96
_0718_,25.92
_0950_,25.8
_1132_,25.8
_0859_,25.76
_0639_,25.67
_1033_,25.66
_0820_,25.62
u_core.u_regfile.rf\[7\]\[22\],25.58
_1532_,25.38
u_core.u_regfile.rf\[7\]\[17\],25.36
_0600_,25.26
_1412_,25.22
_1300_,25.17
net11,25.055
u_core.u_regfile.rf\[5\]\[21\],25.02
net111,25.02
_0846_,24.96
_0670_,24.925
u_core.u_regfile.rf\[7\]\[0\],24.92
_0597_,24.74
_0765_,24.72
_0253_,24.705
_1275_,24.66
_1395_,24.66
u_core.u_regfile.rf\[7\]\[3\],24.58
_0575_,24.48
_1111_,24.38
_1457_,24.18
u_core.u_regfile.rf\[31\]\[29\],24.1
_1708_,24.08
u_core.u_regfile.rf\[28\]\[29\],24.06
_1101_,24
_1249_,23.99
_0666_,23.955
u_core.u_regfile.rf\[1\]\[7\],23.955
_0604_,23.92
_1420_,23.88
_0005_,23.84
_1518_,23.82
u_core.u_regfile.rf\[6\]\[21\],23.78
_1207_,23.72
_0601_,23.63
_1899_,23.6
u_core.u_regfile.rf\[5\]\[23\],23.56
_1050_,23.5
u_timer.threshold_reg\[19\],23.46
_1692_,23.42
u_core.u_regfile.rf\[5\]\[20\],23.42
_1677_,23.36
u_core.u_regfile.rf\[28\]\[21\],23.34
u_core.u_regfile.rf\[4\]\[26\],23.32
_1937_,23.26
u_core.u_regfile.rf\[5\]\[13\],23.26
u_core.u_regfile.rf\[7\]\[2\],23.18
_1696_,23.16
u_core.u_regfile.rf\[7\]\[11\],23.08
_1442_,23
_1699_,22.96
_1211_,22.92
_1244_,22.92
_1174_,22.91
u_core.u_regfile.rf\[31\]\[28\],22.88
u_core.u_regfile.rf\[7\]\[14\],22.88
u_core.u_regfile.rf\[28\]\[20\],22.76
_1644_,22.72
_0673_,22.715
u_core.u_regfile.rf\[6\]\[27\],22.64
_0844_,22.58
_1337_,22.56
_1005_,22.54
_1648_,22.46
_1691_,22.42
_0626_,22.4
_0977_,22.34
u_core.u_regfile.rf\[5\]\[9\],22.34
_0793_,22.33
u_core.u_regfile.rf\[31\]\[18\],22.2
u_core.u_regfile.rf\[6\]\[15\],22.18
u_timer.threshold_reg\[28\],22.165
_1492_,22.14
_0789_,21.94
_1519_,21.92
_0663_,21.82
_1351_,21.81
_1237_,21.8
_1155_,21.76
_1449_,21.72
_1323_,21.7
_1525_,21.7
_1555_,21.7
_1549_,21.66
_0877_,21.6
_0928_,21.6
_1528_,21.6
u_core.u_regfile.rf\[1\]\[30\],21.6
_1086_,21.58
_0640_,21.545
_2071_,21.54
u_audio.counter\[2\],21.525
_1315_,21.46
_0747_,21.38
_1569_,21.38
_1685_,21.38
u_core.u_regfile.rf\[6\]\[3\],21.38
_0000_,21.26
_0247_,21.245
_1223_,21.24
u_core.u_regfile.rf\[1\]\[10\],21.14
_1423_,21.12
u_timer.threshold_reg\[15\],21.12
_0899_,21.085
u_timer.count_reg\[17\],21.06
_2051_,21.04
u_audio.counter\[7\],20.94
_1339_,20.92
_0921_,20.9
_0690_,20.84
u_core.u_regfile.rf\[6\]\[25\],20.84
_1509_,20.82
_1037_,20.78
u_timer.threshold_reg\[14\],20.78
u_timer.count_reg\[21\],20.72
_0919_,20.7
_1586_,20.7
_1301_,20.6
_1377_,20.58
u_core.u_regfile.rf\[4\]\[14\],20.58
_1567_,20.52
u_core.u_regfile.rf\[5\]\[18\],20.52
_1824_,20.5
_0045_,20.485
_1039_,20.46
_1369_,20.46
_2092_,20.38
u_core.u_regfile.rf\[28\]\[1\],20.34
_0786_,20.3
_1684_,20.3
_1053_,20.22
u_core.u_regfile.rf\[7\]\[12\],20.22
_1336_,20.18
_1019_,20.16
_2108_,20.16
_1338_,20.12
u_core.u_regfile.rf\[31\]\[30\],20.02
